Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
149	0	0	0	0.01	0	0.03	0.05	0.19	0.28	0.69	0.8	0.97	0.97	0.95	0.9	0.91
150	0	0	0	0.01	0.01	0.03	0.05	0.18	0.28	0.68	0.81	0.94	0.99	0.93	0.93	0.93
151	0	0	0	0.01	0.01	0.03	0.05	0.19	0.28	0.69	0.81	0.94	0.97	0.95	0.91	0.92
152	0	0	0	0	0.02	0.01	0.06	0.19	0.26	0.72	0.79	0.93	0.98	0.96	0.91	0.93
153	0	0.02	0	0	0	0.02	0.06	0.19	0.27	0.64	0.84	0.96	0.96	0.93	0.94	0.94
154	0	0	0	0.01	0	0.03	0.05	0.16	0.3	0.7	0.82	0.95	0.96	0.94	0.92	0.94
155	0	0	0	0	0	0.02	0.07	0.16	0.29	0.7	0.82	0.95	0.96	0.94	0.92	0.94
156	0	0	0	0	0.01	0.03	0.06	0.17	0.3	0.67	0.81	0.94	0.97	0.96	0.93	0.87
157	0	0	0	0	0.02	0.01	0.05	0.18	0.28	0.69	0.8	0.95	0.97	0.93	0.93	0.96
158	0	0	0	0	0	0.02	0.05	0.18	0.3	0.67	0.86	0.94	0.96	0.95	0.91	0.97
159	0	0	0	0	0	0.03	0.05	0.18	0.27	0.69	0.83	0.96	0.96	0.96	0.92	0.91
160	0	0	0	0.01	0.01	0.02	0.04	0.17	0.3	0.7	0.82	0.95	0.97	0.94	0.93	0.96
161	0	0	0	0	0	0.03	0.05	0.2	0.28	0.67	0.83	0.95	0.95	0.97	0.93	0.93
162	0	0	0	0	0.01	0.02	0.06	0.18	0.3	0.64	0.82	0.94	0.97	0.97	0.91	0.91
163	0	0	0	0.01	0.01	0.02	0.05	0.18	0.3	0.68	0.79	0.97	0.96	0.94	0.92	0.94
164	0	0	0	0	0.01	0.02	0.06	0.18	0.28	0.67	0.8	0.96	0.96	0.95	0.92	0.94
165	0	0	0	0	0	0.02	0.06	0.17	0.3	0.69	0.8	0.96	0.97	0.97	0.91	0.91
166	0	0	0	0.01	0	0.02	0.06	0.15	0.3	0.68	0.81	0.96	0.98	0.95	0.92	0.9
167	0	0	0	0	0.01	0.02	0.06	0.18	0.29	0.7	0.79	0.97	0.95	0.94	0.96	0.9
168	0	0	0	0	0.01	0.02	0.06	0.17	0.27	0.74	0.81	0.96	0.96	0.95	0.92	0.93
169	0	0	0	0	0	0.03	0.05	0.18	0.28	0.71	0.81	0.95	0.98	0.95	0.89	0.94
170	0	0	0	0	0.01	0.02	0.05	0.18	0.27	0.73	0.81	0.96	0.96	0.95	0.92	0.94
171	0	0	0	0	0.01	0.02	0.05	0.17	0.3	0.67	0.84	0.96	0.97	0.93	0.93	0.94
172	0	0	0	0	0.01	0.01	0.06	0.18	0.28	0.68	0.81	0.95	0.96	0.96	0.94	0.92
173	0	0	0	0	0.01	0.02	0.06	0.18	0.27	0.69	0.84	0.95	0.98	0.94	0.89	0.98
174	0	0	0	0	0.02	0.03	0.05	0.18	0.29	0.72	0.81	0.93	0.99	0.97	0.88	0.94
175	0	0	0	0.01	0.01	0.02	0.06	0.18	0.27	0.68	0.82	0.97	0.98	0.97	0.9	0.94
176	0	0	0	0	0.01	0.01	0.06	0.16	0.29	0.71	0.83	0.94	0.97	0.93	0.92	0.92
177	0	0	0	0.01	0	0.02	0.05	0.18	0.27	0.69	0.83	0.96	0.96	0.94	0.94	0.94
178	0	0	0	0	0.01	0.02	0.06	0.16	0.31	0.69	0.83	0.93	0.96	0.96	0.94	0.91
179	0	0	0	0	0.01	0.02	0.06	0.2	0.27	0.67	0.85	0.93	0.97	0.93	0.94	0.95
180	0	0	0	0	0	0.03	0.05	0.18	0.28	0.68	0.82	0.95	0.97	0.95	0.91	0.96
181	0	0	0	0	0	0.02	0.05	0.19	0.28	0.67	0.85	0.94	0.98	0.97	0.9	0.98
182	0	0	0.01	0	0	0.02	0.05	0.18	0.29	0.64	0.86	0.94	0.97	0.91	0.96	0.94
183	0	0	0	0	0	0.02	0.05	0.19	0.29	0.68	0.84	0.93	0.96	0.93	0.95	0.9
